mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bytree,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.8334694703420004,0.009671989281579103,0.09476423263549805,0.008637601747677219,0.5,0.01,10,100,0.8,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.01, 'model__max_depth': 10, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.25,0.05,0.02564102564102564,0.10854700854700855,0.10051550958668136,309
0.6622036298116049,0.026482870578949876,0.09221275647481282,0.0032120986010925313,0.5,0.01,10,100,1.0,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.01, 'model__max_depth': 10, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.325,0.075,0.10256410256410256,0.1675213675213675,0.11192135543331679,305
2.3294004599253335,0.13072490214784538,0.1755964756011963,0.014329902106777438,0.5,0.01,10,300,0.5,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.01, 'model__max_depth': 10, 'model__n_estimators': 300, 'model__subsample': 0.5}",0.55,0.65,0.46153846153846156,0.553846153846154,0.07698715280001245,285
2.458081007003784,0.13191727721480268,0.19683106740315756,0.010127981122699355,0.5,0.01,10,300,0.8,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.01, 'model__max_depth': 10, 'model__n_estimators': 300, 'model__subsample': 0.8}",0.575,0.625,0.5384615384615384,0.5794871794871795,0.03547137264681263,263
1.52360733350118,0.012638126200645855,0.2238005797068278,0.005565453181600905,0.5,0.01,10,300,1.0,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.01, 'model__max_depth': 10, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.575,0.65,0.5384615384615384,0.5878205128205128,0.04642902298008161,250
3.7341922918955484,0.1452408573116889,0.27439387639363605,0.022514011763004684,0.5,0.01,10,500,0.5,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.01, 'model__max_depth': 10, 'model__n_estimators': 500, 'model__subsample': 0.5}",0.575,0.675,0.5897435897435898,0.6132478632478633,0.04407824977410646,173
3.8896400928497314,0.17470406857358417,0.3086673418680827,0.01177274159927237,0.5,0.01,10,500,0.8,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.01, 'model__max_depth': 10, 'model__n_estimators': 500, 'model__subsample': 0.8}",0.625,0.625,0.5897435897435898,0.6132478632478633,0.016620031181735086,173
2.6377556324005127,0.2202326991585523,0.3093706766764323,0.005546863201717251,0.5,0.01,10,500,1.0,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.01, 'model__max_depth': 10, 'model__n_estimators': 500, 'model__subsample': 1.0}",0.6,0.625,0.5897435897435898,0.60491452991453,0.014806936871000351,199
0.914156993230184,0.08977875008273482,0.08611122767130534,0.007971465799140102,0.5,0.01,12,100,0.5,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.01, 'model__max_depth': 12, 'model__n_estimators': 100, 'model__subsample': 0.5}",0.0,0.0,0.0,0.0,0.0,317
0.9312586784362793,0.0772807595207388,0.0900103251139323,0.006687170476022637,0.5,0.01,12,100,0.8,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.01, 'model__max_depth': 12, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.25,0.05,0.02564102564102564,0.10854700854700855,0.10051550958668136,309
0.6735126177469889,0.04514360674751462,0.09529336293538411,0.006215258866895282,0.5,0.01,12,100,1.0,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.01, 'model__max_depth': 12, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.325,0.075,0.10256410256410256,0.1675213675213675,0.11192135543331679,305
2.3243937492370605,0.24808362978066797,0.17765005429585776,0.014419927848391955,0.5,0.01,12,300,0.5,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.01, 'model__max_depth': 12, 'model__n_estimators': 300, 'model__subsample': 0.5}",0.55,0.65,0.46153846153846156,0.553846153846154,0.07698715280001245,285
2.3703486919403076,0.17944688906878722,0.20087472597757974,0.004812894901286623,0.5,0.01,12,300,0.8,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.01, 'model__max_depth': 12, 'model__n_estimators': 300, 'model__subsample': 0.8}",0.575,0.625,0.5384615384615384,0.5794871794871795,0.03547137264681263,263
1.531366189320882,0.01896408679146058,0.1934986114501953,0.0033273243327013704,0.5,0.01,12,300,1.0,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.01, 'model__max_depth': 12, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.55,0.65,0.5384615384615384,0.5794871794871795,0.050082115345191316,263
3.8745761712392173,0.24425716235397898,0.27761491139729816,0.015229921198843966,0.5,0.01,12,500,0.5,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.01, 'model__max_depth': 12, 'model__n_estimators': 500, 'model__subsample': 0.5}",0.575,0.675,0.5897435897435898,0.6132478632478633,0.04407824977410646,173
3.6777255535125732,0.18119132648749217,0.3034238815307617,0.004708505699701471,0.5,0.01,12,500,0.8,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.01, 'model__max_depth': 12, 'model__n_estimators': 500, 'model__subsample': 0.8}",0.625,0.625,0.5897435897435898,0.6132478632478633,0.016620031181735086,173
2.596385876337687,0.11360515639113537,0.32784541447957355,0.020072043482235513,0.5,0.01,12,500,1.0,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.01, 'model__max_depth': 12, 'model__n_estimators': 500, 'model__subsample': 1.0}",0.625,0.65,0.5897435897435898,0.6215811965811966,0.02471807579969933,153
1.010215441385905,0.12750015542059068,0.08807818094889323,0.010168632633965485,0.5,0.1,5,100,0.5,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 100, 'model__subsample': 0.5}",0.6,0.65,0.5897435897435898,0.6132478632478633,0.026322843751170086,173
0.9674661954243978,0.07547081303439689,0.0951375961303711,0.00593684228940067,0.5,0.1,5,100,0.8,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.6,0.7,0.5897435897435898,0.6299145299145299,0.04973448384949111,119
0.7870305379231771,0.044974271629325165,0.09374594688415527,0.007035812950878174,0.5,0.1,5,100,1.0,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.55,0.7,0.6153846153846154,0.6217948717948718,0.061404769306810464,136
2.578266223271688,0.21290199310161342,0.15614819526672363,0.00965414059872898,0.5,0.1,5,300,0.5,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 300, 'model__subsample': 0.5}",0.575,0.65,0.5897435897435898,0.60491452991453,0.03244346949441635,199
2.3077542781829834,0.20978652905556067,0.1584477424621582,0.00539160726809047,0.5,0.1,5,300,0.8,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 300, 'model__subsample': 0.8}",0.6,0.625,0.6153846153846154,0.6134615384615385,0.010296396412954505,163
1.4589882691701253,0.009219652365167537,0.16258343060811362,0.003903640320727883,0.5,0.1,5,300,1.0,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.65,0.6,0.6153846153846154,0.6217948717948718,0.020909623628589873,136
3.9259589513142905,0.4162232589301014,0.20225962003072104,0.0024746531150503432,0.5,0.1,5,500,0.5,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 500, 'model__subsample': 0.5}",0.6,0.575,0.5641025641025641,0.5797008547008546,0.015027308523519007,262
3.3462448120117188,0.043920146489188794,0.23497970898946127,0.01183085947213033,0.5,0.1,5,500,0.8,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 500, 'model__subsample': 0.8}",0.6,0.625,0.6153846153846154,0.6134615384615385,0.010296396412954505,163
2.5348188082377114,0.21924361687188226,0.2506136894226074,0.021655169050057377,0.5,0.1,5,500,1.0,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 500, 'model__subsample': 1.0}",0.65,0.6,0.6153846153846154,0.6217948717948718,0.020909623628589873,136
1.0168038209279378,0.12276091488863881,0.08559203147888184,0.008044575382570238,0.5,0.1,8,100,0.5,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.1, 'model__max_depth': 8, 'model__n_estimators': 100, 'model__subsample': 0.5}",0.575,0.65,0.5897435897435898,0.60491452991453,0.03244346949441635,199
1.014835039774577,0.12323390394764755,0.09579404195149739,0.00792812354388592,0.5,0.1,8,100,0.8,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.1, 'model__max_depth': 8, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.6,0.7,0.6153846153846154,0.6384615384615384,0.04396520051149292,66
0.7478784720102946,0.029643245924285473,0.10607822736104329,0.0072208424559672985,0.5,0.1,8,100,1.0,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.1, 'model__max_depth': 8, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.625,0.675,0.6153846153846154,0.6384615384615385,0.026133098859794254,56
2.6316400369008384,0.1849094678144692,0.1738433837890625,0.020093992309442903,0.5,0.1,8,300,0.5,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.1, 'model__max_depth': 8, 'model__n_estimators': 300, 'model__subsample': 0.5}",0.6,0.65,0.5641025641025641,0.6047008547008547,0.035224668435888694,212
